outcome,beta,se,tstat,pval,n
dso,-0.5246,0.6326,-0.8293,0.407,39523
dpo,0.5103,1.0369,0.4922,0.6226,39856
dio,-0.0804,0.894,-0.0899,0.9284,38949
nwc_ratio,-0.0011,0.0022,-0.4812,0.6304,38367
ccc,-0.4598,1.1515,-0.3993,0.6897,38469
